Start Time,End Time
0.18575963718820862,1.2770975056689342
1.2770975056689342,2.36843537414966
2.36843537414966,3.436553287981859
3.436553287981859,4.527891156462585
4.527891156462585,5.61922902494331
5.61922902494331,6.710566893424036
6.710566893424036,7.801904761904762
7.801904761904762,8.893242630385487
8.893242630385487,9.984580498866213
9.984580498866213,11.075918367346938
11.075918367346938,12.167256235827665
12.167256235827665,13.212154195011339
13.212154195011339,14.349931972789115
14.349931972789115,15.441269841269841
15.441269841269841,16.532607709750568
16.532607709750568,17.623945578231293
17.623945578231293,18.692063492063493
18.692063492063493,19.806621315192743
19.806621315192743,20.78185941043084
20.78185941043084,21.873197278911565
21.873197278911565,22.96453514739229
22.96453514739229,23.893333333333334
23.893333333333334,24.729251700680273
24.729251700680273,25.820589569160997
25.820589569160997,26.911927437641722
26.911927437641722,27.980045351473922
27.980045351473922,29.071383219954647
29.071383219954647,30.162721088435376
30.162721088435376,31.2540589569161
31.2540589569161,32.345396825396826
32.345396825396826,33.436734693877554
33.436734693877554,34.528072562358275
34.528072562358275,35.619410430839004
35.619410430839004,36.710748299319725
36.710748299319725,37.802086167800454
37.802086167800454,38.89342403628118
38.89342403628118,40.00798185941043
40.00798185941043,41.07609977324263
41.07609977324263,42.16743764172335
42.16743764172335,43.25877551020408
43.25877551020408,44.35011337868481
44.35011337868481,45.44145124716553
45.44145124716553,46.53278911564626
46.53278911564626,47.62412698412698
47.62412698412698,48.71546485260771
48.71546485260771,49.80680272108844
49.80680272108844,50.89814058956916
50.89814058956916,51.98947845804989
51.98947845804989,53.08081632653061
53.08081632653061,54.17215419501134
54.17215419501134,55.263492063492066
55.263492063492066,56.35482993197279
56.35482993197279,57.446167800453516
57.446167800453516,58.53750566893424
58.53750566893424,59.628843537414966
59.628843537414966,60.720181405895694
60.720181405895694,61.811519274376415
61.811519274376415,62.902857142857144
62.902857142857144,63.994195011337865
63.994195011337865,65.0855328798186
65.0855328798186,66.17687074829932
66.17687074829932,67.26820861678004
67.26820861678004,68.33632653061224
68.33632653061224,69.17224489795919
69.17224489795919,70.12426303854875
70.12426303854875,71.07628117913832
71.07628117913832,72.14439909297052
72.14439909297052,73.23573696145125
73.23573696145125,74.23419501133787
74.23419501133787,75.39519274376417
75.39519274376417,76.53297052154196
76.53297052154196,77.78684807256236
77.78684807256236,79.2497052154195
79.2497052154195,80.36426303854876
80.36426303854876,81.43238095238095
81.43238095238095,82.50049886621315
82.50049886621315,83.61505668934241
83.61505668934241,84.70639455782313
84.70639455782313,85.79773242630385
85.79773242630385,86.88907029478457
86.88907029478457,87.98040816326531
87.98040816326531,89.07174603174603
89.07174603174603,90.16308390022675
90.16308390022675,91.25442176870749
91.25442176870749,92.34575963718821
92.34575963718821,93.43709750566893
93.43709750566893,94.52843537414967
94.52843537414967,95.61977324263039
95.61977324263039,96.71111111111111
96.71111111111111,97.80244897959183
97.80244897959183,98.89378684807257
98.89378684807257,99.96190476190476
99.96190476190476,100.96036281179138
100.96036281179138,102.14458049886622
102.14458049886622,103.30557823129251
103.30557823129251,104.35047619047619
104.35047619047619,105.44181405895692
105.44181405895692,111.44181405895692
253.16347174783306,255.75690748718532
255.75690748718532,258.3503432265376
258.3503432265376,260.9437789658898
260.9437789658898,263.5372147052421
263.5372147052421,111.98984126984126
111.98984126984126,113.081179138322
113.081179138322,114.17251700680272
114.17251700680272,115.26385487528344
115.26385487528344,116.35519274376418
116.35519274376418,117.4465306122449
117.4465306122449,118.53786848072562
118.53786848072562,119.62920634920636
119.62920634920636,120.72054421768708
120.72054421768708,121.8118820861678
121.8118820861678,122.90321995464852
122.90321995464852,123.99455782312926
123.99455782312926,125.08589569160998
125.08589569160998,126.1772335600907
126.1772335600907,127.26857142857143
127.26857142857143,128.35990929705216
128.35990929705216,129.4512471655329
129.4512471655329,130.5425850340136
130.5425850340136,131.63392290249433
131.63392290249433,132.72526077097507
132.72526077097507,133.79337868480727
133.79337868480727,134.9079365079365
134.9079365079365,135.99927437641725
135.99927437641725,137.06739229024944
137.06739229024944,138.1819501133787
138.1819501133787,139.2732879818594
139.2732879818594,140.45750566893423
140.45750566893423,141.64172335600907
141.64172335600907,142.68662131519275
142.68662131519275,143.68507936507936
143.68507936507936,144.72997732426305
144.72997732426305,145.8445351473923
145.8445351473923,146.88943310657595
146.88943310657595,147.98077097505669
147.98077097505669,149.16498866213152
149.16498866213152,150.32598639455782
150.32598639455782,151.39410430839
151.39410430839,152.39256235827665
152.39256235827665,153.4374603174603
